City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
39,Touros,BR,85.12,overcast clouds,-5.1989,-35.4608,
40,Buraydah,SA,88.25,overcast clouds,26.326,43.975,
42,Bengkulu,ID,77.54,overcast clouds,-3.8004,102.2655,
43,Hermanus,ZA,63.81,overcast clouds,-34.4187,19.2345,
44,Bambous Virieux,MU,75.22,heavy intensity rain,-20.3428,57.7575,
45,Carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,
46,Bandarbeyla,SO,79.81,few clouds,9.4942,50.8122,
47,Guerrero Negro,MX,64.06,clear sky,27.9769,-114.0611,
48,Chissamba,AO,68.41,light rain,-12.1667,17.3333,
49,Bluff,NZ,57.4,broken clouds,-46.6,168.3333,
51,La Ligua,CL,73.22,clear sky,-32.4524,-71.2311,
52,Matagami,CA,35.71,broken clouds,49.7502,-77.6328,
53,Cape Town,ZA,70.21,few clouds,-33.9258,18.4232,
54,Taltal,CL,67.57,clear sky,-25.4,-70.4833,
55,Chakia,IN,83.59,clear sky,26.4167,85.05,
56,Jamame,SO,80.91,broken clouds,0.0722,42.7506,
57,Ponta Do Sol,PT,65.12,broken clouds,32.6667,-17.1,
58,Katsuura,JP,51.51,moderate rain,35.1333,140.3,
59,Constitucion,CL,65.57,clear sky,-35.3333,-72.4167,
60,Hithadhoo,MV,83.32,few clouds,-0.6,73.0833,
61,Mareeba,AU,68.72,overcast clouds,-17.0,145.4333,
62,Desur,IN,79.74,scattered clouds,12.4333,79.4833,
63,Kalemie,CD,74.66,overcast clouds,-5.9475,29.1947,
65,Torres,BR,70.48,scattered clouds,-29.3353,-49.7269,
66,Bredasdorp,ZA,62.62,light rain,-34.5322,20.0403,
67,Ludvika,SE,40.77,scattered clouds,60.1496,15.1878,
69,Atuona,PF,78.67,clear sky,-9.8,-139.0333,
70,Cayenne,GF,80.1,moderate rain,4.9333,-52.3333,
71,Chuy,UY,69.01,scattered clouds,-33.6971,-53.4616,
72,Rio Grande,BR,77.11,clear sky,-32.035,-52.0986,
73,Chipata,ZM,65.55,light rain,-13.6333,32.65,
74,Airai,TL,57.52,few clouds,-8.9266,125.4092,
75,Cabedelo,BR,88.47,broken clouds,-6.9811,-34.8339,
76,Dangara,IN,81.54,clear sky,29.6799,75.8931,
77,Saraland,US,69.42,overcast clouds,30.8207,-88.0706,
78,Murgab,TM,69.67,overcast clouds,37.4966,61.9714,
79,Victoria,HK,61.32,overcast clouds,22.2855,114.1577,
81,Malur,IN,86.02,few clouds,13.0075,77.9378,
82,Kaitangata,NZ,48.69,scattered clouds,-46.2817,169.8464,
83,Kieta,PG,77.92,light rain,-6.2167,155.6333,
84,Conde,BR,87.26,scattered clouds,-7.2597,-34.9075,
85,Lancaster,US,48.7,clear sky,40.2504,-76.2499,
86,Narsaq,GL,44.82,overcast clouds,60.9167,-46.05,
87,Kiunga,PG,72.46,overcast clouds,-6.1219,141.2906,
88,Bethel,US,49.59,clear sky,41.3712,-73.414,
89,Klaksvik,FO,41.92,overcast clouds,62.2266,-6.589,
90,Fortuna,US,52.93,clear sky,40.5982,-124.1573,
92,Moscow,RU,32.23,snow,55.7522,37.6156,
93,Grand Forks,US,35.53,overcast clouds,47.9417,-97.4337,
94,Puerto Ayora,EC,84.16,scattered clouds,-0.7393,-90.3518,
95,Osny,FR,44.85,scattered clouds,49.0594,2.0618,
96,Butaritari,KI,81.39,scattered clouds,3.0707,172.7902,
98,Horadiz,AZ,63.37,scattered clouds,39.4488,47.3353,
99,Hailey,US,50.88,scattered clouds,43.5196,-114.3153,
100,Chicama,PE,66.74,overcast clouds,-7.8447,-79.1469,
